noise number; onset time ms; duration ms
551; 22516.000000; 3.000000
552; 22529.000000; 2.000000
553; 22541.000000; 2.000000
554; 22553.000000; 1.000000
555; 22563.000000; 2.000000
556; 22576.000000; 1.000000
557; 22588.000000; 2.000000
558; 22599.000000; 2.000000
559; 22602.000000; 2.000000
560; 22612.000000; 1.000000
561; 22623.000000; 2.000000
562; 22647.000000; 1.000000
563; 22659.000000; 1.000000
564; 22682.000000; 1.000000
565; 22694.000000; 1.000000
566; 22706.000000; 1.000000
567; 22717.000000; 2.000000
568; 22757.000000; 1.000000
569; 22777.000000; 2.000000
570; 22834.000000; 2.000000
571; 22858.000000; 2.000000
572; 22874.000000; 1.000000
573; 22880.000000; 1.000000
574; 22970.000000; 4.000000
575; 22975.000000; 4.000000
576; 22983.000000; 8.000000
577; 22994.000000; 3.000000
578; 22998.000000; 4.000000
579; 23006.000000; 3.000000
580; 23010.000000; 4.000000
581; 23017.000000; 4.000000
582; 23022.000000; 4.000000
583; 23029.000000; 4.000000
584; 23034.000000; 4.000000
585; 23042.000000; 2.000000
586; 23087.000000; 3.000000
587; 23091.000000; 3.000000
588; 23098.000000; 4.000000
589; 23103.000000; 4.000000
590; 23111.000000; 3.000000
591; 23115.000000; 3.000000
592; 23123.000000; 1.000000
593; 23127.000000; 3.000000
594; 23135.000000; 1.000000
595; 23139.000000; 3.000000
596; 23147.000000; 5.000000
597; 23158.000000; 2.000000
598; 23161.000000; 4.000000
599; 23169.000000; 2.000000
600; 23175.000000; 2.000000
601; 23182.000000; 1.000000
602; 23187.000000; 2.000000
603; 23193.000000; 2.000000
604; 23239.000000; 2.000000
605; 23248.000000; 3.000000
606; 23256.000000; 1.000000
607; 23279.000000; 2.000000
608; 23284.000000; 4.000000
609; 23291.000000; 3.000000
610; 23297.000000; 1.000000
611; 23309.000000; 1.000000
612; 23315.000000; 2.000000
613; 23320.000000; 1.000000
614; 23327.000000; 1.000000
615; 23338.000000; 1.000000
616; 23362.000000; 2.000000
617; 23367.000000; 1.000000
618; 23427.000000; 1.000000
619; 23434.000000; 1.000000
620; 23438.000000; 2.000000
621; 23445.000000; 1.000000
622; 23450.000000; 2.000000
623; 23456.000000; 2.000000
624; 23461.000000; 2.000000
625; 23468.000000; 1.000000
626; 23480.000000; 1.000000
627; 23492.000000; 2.000000
628; 23495.000000; 2.000000
629; 23504.000000; 2.000000
630; 23515.000000; 3.000000
631; 23519.000000; 2.000000
632; 23527.000000; 2.000000
633; 23539.000000; 2.000000
634; 23551.000000; 1.000000
635; 23563.000000; 1.000000
636; 23578.000000; 2.000000
637; 23586.000000; 1.000000
638; 23617.000000; 2.000000
639; 23620.000000; 2.000000
640; 23640.000000; 1.000000
641; 23679.000000; 2.000000
642; 23711.000000; 1.000000
643; 23745.000000; 2.000000
644; 23758.000000; 1.000000
645; 23763.000000; 1.000000
646; 23773.000000; 3.000000
647; 23784.000000; 4.000000
648; 23797.000000; 2.000000
649; 23804.000000; 1.000000
650; 23808.000000; 3.000000
651; 23821.000000; 2.000000
652; 23826.000000; 1.000000
653; 23831.000000; 4.000000
654; 23845.000000; 1.000000
655; 23857.000000; 1.000000
656; 23867.000000; 3.000000
657; 23874.000000; 2.000000
658; 23916.000000; 1.000000
659; 23939.000000; 1.000000
660; 23946.000000; 1.000000
661; 23950.000000; 2.000000
662; 23981.000000; 1.000000
663; 23997.000000; 3.000000
664; 24009.000000; 2.000000
665; 24020.000000; 4.000000
666; 24032.000000; 3.000000
667; 24038.000000; 1.000000
668; 24044.000000; 3.000000
669; 24057.000000; 2.000000
670; 24069.000000; 1.000000
671; 24080.000000; 2.000000
672; 24085.000000; 1.000000
673; 24091.000000; 3.000000
674; 24104.000000; 2.000000
675; 24115.000000; 2.000000
676; 24133.000000; 2.000000
677; 24138.000000; 2.000000
678; 24151.000000; 1.000000
679; 24162.000000; 2.000000
680; 24186.000000; 2.000000
681; 24198.000000; 1.000000
682; 24208.000000; 3.000000
683; 24217.000000; 1.000000
